district_id,district_name
371,Kolhapur
725,Kolkata
298,Kollam
124,Kondagaon
282,Koppal
451,Koraput
125,Korba
126,Koriya
503,Kota
304,Kottayam
780,Kovilpatti
305,Kozhikode
27,Kra Daadi
4,Krishna
562,Krishnagiri
221,Kulgam
211,Kullu
591,Kumuram Bheem
226,Kupwara
7,Kurnool
186,Kurukshetra
21,Kurung Kumey
667,Kushinagar
170,Kutch
210,Lahaul Spiti
63,Lakhimpur
668,Lakhimpur Kheri
84,Lakhisarai
311,Lakshadweep
669,Lalitpur
244,Latehar
383,Latur
432,Lawngtlai
310,Leh
33,Lepa Rada
250,Lohardaga
29,Lohit
40,Longding
438,Longleng
31,Lower Dibang Valley
18,Lower Siang
32,Lower Subansiri
670,Lucknow
488,Ludhiana
431,Lunglei
70,Madhepura
95,Madhubani
540,Madurai
592,Mahabubabad
593,Mahabubnagar
671,Maharajganj
127,Mahasamund
477,Mahe
206,Mahendragarh
183,Mahisagar
672,Mahoba
673,Mainpuri
767,Majuli
302,Malappuram
726,Malda
469,Malkangiri
427,Mamit
594,Mancherial
215,Mandi
335,Mandla
319,Mandsaur
290,Mandya
482,Mansa
674,Mathura
675,Mau
456,Mayurbhanj
595,Medak
596,Medchal
676,Meerut
160,Mehsana
677,Mirzapur
491,Moga
437,Mokokchung
439,Mon
678,Moradabad
171,Morbi
347,Morena
55,Morigaon
612,Mulugu
395,Mumbai
128,Mungeli
85,Munger
727,Murshidabad
679,Muzaffarnagar
86,Muzaffarpur
266,Mysore
470,Nabarangpur
728,Nadia
56,Nagaon
576,Nagapattinam
597,Nagarkurnool
532,Nagaur
365,Nagpur
709,Nainital
90,Nalanda
52,Nalbari
598,Nalgonda
558,Namakkal
36,Namsai
382,Nanded
729,Nandigram HD (East Medinipore)
387,Nandurbar
613,Narayanpet
129,Narayanpur
184,Narmada
352,Narsinghpur
389,Nashik
164,Navsari
92,Nawada
462,Nayagarh
323,Neemuch
140,New Delhi
3,Nicobar
577,Nilgiris
599,Nirmal
600,Nizamabad
412,Noney
730,North 24 Parganas
146,North Delhi
147,North East Delhi
423,North Garo Hills
151,North Goa
537,North Sikkim
617,North Tripura
143,North West Delhi
1,North and Middle Andaman
465,Nuapada
205,Nuh
381,Osmanabad
19,Pakke Kessang
261,Pakur
308,Palakkad
246,Palamu
564,Palani
394,Palghar
529,Pali
207,Palwal
187,Panchkula
185,Panchmahal
195,Panipat
326,Panna
39,Papum Pare
573,Paramakudi
385,Parbhani
731,Paschim Medinipore
161,Patan
300,Pathanamthitta
486,Pathankot
494,Patiala
97,Patna
698,Pauri Garhwal
601,Peddapalli
570,Perambalur
435,Peren
443,Phek
411,Pherzawl
680,Pilibhit
706,Pithoragarh
575,Poonamallee
238,Poonch
172,Porbandar
12,Prakasam
522,Pratapgarh
682,Pratapgarh
624,Prayagraj
475,Puducherry
546,Pudukkottai
227,Pulwama
363,Pune
732,Purba Medinipore
463,Puri
73,Purnia
733,Purulia
681,Raebareli
284,Raichur
393,Raigad
130,Raigarh
109,Raipur
359,Raisen
602,Rajanna Sircilla
358,Rajgarh
173,Rajkot
775,Rajkot Corporation
131,Rajnandgaon
237,Rajouri
518,Rajsamand
292,Ramanagara
567,Ramanathapuram
235,Ramban
254,Ramgarh
683,Rampur
734,Rampurhat HD (Birbhum)
240,Ranchi
603,Rangareddy
781,Ranipet
322,Ratlam
372,Ratnagiri
471,Rayagada
239,Reasi
316,Rewa
202,Rewari
417,Ri-Bhoi
192,Rohtak
81,Rohtas
700,Rudraprayag
497,Rup Nagar
496,SAS Nagar
500,SBS Nagar
162,Sabarkantha
317,Sagar
684,Saharanpur
71,Saharsa
260,Sahebganj
545,Salem
96,Samastipur
236,Samba
452,Sambalpur
685,Sambhal
604,Sangareddy
373,Sangli
498,Sangrur
686,Sant Kabir Nagar
102,Saran
376,Satara
333,Satna
534,Sawai Madhopur
356,Sehore
403,Senapati
349,Seoni
618,Sepahijala
248,Seraikela Kharsawan
430,Serchhip
148,Shahdara
332,Shahdol
688,Shahjahanpur
321,Shajapur
689,Shamli
93,Sheikhpura
87,Sheohar
346,Sheopur
35,Shi Yomi
208,Shimla
287,Shimoga
345,Shivpuri
222,Shopian
690,Shravasti
433,Siaha
37,Siang
691,Siddharthnagar
605,Siddipet
331,Sidhi
513,Sikar
249,Simdega
374,Sindhudurg
330,Singrauli
212,Sirmaur
531,Sirohi
194,Sirsa
88,Sitamarhi
692,Sitapur
561,Sivaganga
580,Sivakasi
44,Sivasagar
103,Siwan
209,Solan
375,Solapur
693,Sonbhadra
198,Sonipat
64,Sonitpur
735,South 24 Parganas
2,South Andaman
149,South Delhi
144,South East Delhi
421,South Garo Hills
152,South Goa
768,South Salmara Mankachar
538,South Sikkim
619,South Tripura
150,South West Delhi
422,South West Garo Hills
415,South West Khasi Hills
509,Sri Ganganagar
490,Sri Muktsar Sahib
13,Sri Potti Sriramulu Nellore
14,Srikakulam
220,Srinagar
466,Subarnapur
132,Sukma
694,Sultanpur
453,Sundargarh
72,Supaul
133,Surajpur
165,Surat
776,Surat Corporation
157,Surendranagar
134,Surguja
606,Suryapet
404,Tamenglong
166,Tapi
495,Tarn Taran
30,Tawang
701,Tehri Garhwal
407,Tengnoupal
551,Tenkasi
392,Thane
541,Thanjavur
569,Theni
296,Thiruvananthapuram
554,Thoothukudi (Tuticorin)
405,Thoubal
303,Thrissur
325,Tikamgarh
45,Tinsukia
26,Tirap
560,Tiruchirappalli
548,Tirunelveli
550,Tirupattur
568,Tiruppur
572,Tiruvallur
553,Tiruvannamalai
574,Tiruvarur
526,Tonk
440,Tuensang
288,Tumkur
504,Udaipur
65,Udalguri
705,Udham Singh Nagar
233,Udhampur
286,Udupi
318,Ujjain
406,Ukhrul
329,Umaria
218,Una
620,Unakoti
695,Unnao
34,Upper Siang
41,Upper Subansiri
736,Uttar Dinajpur
281,Uttar Kannada
703,Uttarkashi
155,Vadodara
777,Vadodara Corporation
89,Vaishali
167,Valsad
696,Varanasi
543,Vellore
355,Vidisha
293,Vijayapura
607,Vikarabad
542,Viluppuram
549,Virudhunagar
8,Visakhapatnam
15,Vizianagaram
608,Wanaparthy
609,Warangal(Rural)
610,Warangal(Urban)
377,Wardha
369,Washim
299,Wayanad
737,West Bardhaman
106,West Champaran
142,West Delhi
420,West Garo Hills
16,West Godavari
416,West Jaintia Hills
28,West Kameng
769,West Karbi Anglong
419,West Khasi Hills
38,West Siang
536,West Sikkim
263,West Singhbhum
621,West Tripura
436,Wokha
6,"YSR District, Kadapa (Cuddapah)"
611,Yadadri Bhuvanagiri
285,Yadgir
197,Yamunanagar
478,Yanam
368,Yavatmal
442,Zunheboto
